Model,Metric,Value
Ridge,R2,0.36878957846321714
phi,R2,-1.7951753951386915
GE,R2,0.18135984838626384
Ridge,PCC,0.368789587131961
phi,PCC,0.2810150208023856
GE,PCC,0.6372596465153666
Ridge,r/s,16.44851806524381
phi,r/s,16.44851806524381
GE,r/s,140.13648476800788
Ridge,MAE,23389.771316354385
phi,MAE,70721.20242867139
GE,MAE,14743.462970577939
Ridge,MSE,586689.3451341186
phi,MSE,3411856.111722112
GE,MSE,574419.2121361628
Ridge,RMSE,765.9564903662078
phi,RMSE,1847.1210333170136
GE,RMSE,757.904487475937
Ridge,r,0.6482038437241854
phi,r,0.5813127602011923
GE,r,0.8272739747654871
Ridge,R2,0.42016821447867236
phi,R2,-2.371976391951374
GE,R2,0.4322949271654697
Ridge,PCC,0.42016822301880813
phi,PCC,0.33792452517272875
GE,PCC,0.6843822293242872
Ridge,r/s,14.835816289201956
phi,r/s,14.835816289201956
GE,r/s,110.91155182655253
Ridge,MAE,20653.312992414867
phi,MAE,91551.13471810274
GE,MAE,10753.0713859091
Ridge,MSE,440389.0686793318
phi,MSE,4816790.133748521
GE,MSE,324928.4499316088
Ridge,RMSE,663.6181648202013
phi,RMSE,2194.7186912560164
GE,RMSE,570.0249555340615
Ridge,r,0.6446321143739947
phi,r,0.5836233117357633
GE,r,0.855152527339746
Ridge,R2,0.41555055504954996
phi,R2,-5.392461848688587
GE,R2,0.5687807311371
Ridge,PCC,0.41555056288228714
phi,PCC,0.3406161700014201
GE,PCC,0.7312858450155556
Ridge,r/s,15.848873925733336
phi,r/s,15.848873925733336
GE,r/s,76.35555602465344
Ridge,MAE,29083.504273463517
phi,MAE,132556.38025755394
GE,MAE,16798.993791619123
Ridge,MSE,831178.7743683304
phi,MSE,10022587.010289198
GE,MSE,645473.8248984035
Ridge,RMSE,911.6900648621386
phi,RMSE,3165.84696570905
GE,RMSE,803.4138565511572
Ridge,r,0.6614708058432925
phi,r,0.6117562630582278
GE,r,0.8181960859508559
Ridge,R2,0.43754361618936843
phi,R2,-5.782256982583374
GE,R2,0.5632096432291547
Ridge,PCC,0.437543626982976
phi,PCC,0.37424572539096873
GE,PCC,0.669444835065301
Ridge,r/s,14.399452481743037
phi,r/s,14.399452481743037
GE,r/s,91.89704513990273
Ridge,MAE,40440.58252295196
phi,MAE,99902.2414228708
GE,MAE,23859.71656114228
Ridge,MSE,1410838.3422854827
phi,MSE,7648488.547167871
GE,MSE,970795.0134196939
Ridge,RMSE,1187.7871620309265
phi,RMSE,2765.5900902281
GE,RMSE,985.2893044277371
Ridge,r,0.7115822249793371
phi,r,0.667587627680716
GE,r,0.8435869782962423
Ridge,R2,0.5063492535406521
phi,R2,-1.6761975255638975
GE,R2,0.6603199185405947
Ridge,PCC,0.5063492629065446
phi,PCC,0.4456732406323657
GE,PCC,0.7116389899509853
Ridge,r/s,12.282347234709679
phi,r/s,12.282347234709679
GE,r/s,112.40991426116489
Ridge,MAE,27314.119014821335
phi,MAE,141732.8166861779
GE,MAE,14798.42951482656
Ridge,MSE,716417.3156928238
phi,MSE,11111538.863668736
GE,MSE,455089.6903674318
Ridge,RMSE,846.4143876924729
phi,RMSE,3333.3974955994577
GE,RMSE,674.6033578091883
Ridge,r,0.6792818221039765
phi,r,0.6130373537881363
GE,r,0.8620371170607546
Ridge,R2,0.4614237862107561
phi,R2,-7.353246633604051
GE,R2,0.6578802926677763
Ridge,PCC,0.46142379384089804
phi,PCC,0.3758147971395614
GE,PCC,0.7431079911904171
Ridge,r/s,14.732939371448724
phi,r/s,14.732939371448724
GE,r/s,94.01865696458498
Ridge,MAE,29441.150990198545
phi,MAE,77986.04619008528
GE,MAE,21577.154665265763
Ridge,MSE,889855.0076463737
phi,MSE,4565685.722050359
GE,MSE,1138999.0145114379
Ridge,RMSE,943.3212642818849
phi,RMSE,2136.7465273284893
GE,RMSE,1067.2389678565141
Ridge,r,0.6799908273133307
phi,r,0.6171194946488062
GE,r,0.8154481122595019
Ridge,R2,0.4623875122807688
phi,R2,-1.7583928146539907
GE,R2,0.31186531688932884
Ridge,PCC,0.4623875252302669
phi,PCC,0.38083647067559756
GE,PCC,0.6649556237875842
Ridge,r/s,13.549079535036608
phi,r/s,13.549079535036608
GE,r/s,140.5958625058094
Ridge,MAE,40636.05078891201
phi,MAE,201166.58413179338
GE,MAE,19465.416730296853
Ridge,MSE,1318828.5415146854
phi,MSE,22563540.997527253
GE,MSE,609071.2559297595
Ridge,RMSE,1148.4026042789546
phi,RMSE,4750.109577423163
GE,RMSE,780.4301736412807
Ridge,r,0.7318243809050827
phi,r,0.7054816170522685
GE,r,0.901710387891416
Ridge,R2,0.5355669165439942
phi,R2,-6.94588120388435
GE,R2,0.7855120415342516
Ridge,PCC,0.5355669244871066
phi,PCC,0.497704311998684
GE,PCC,0.8130816236312871
Ridge,r/s,12.945489973994274
phi,r/s,12.945489973994274
GE,r/s,141.6550650709291
Ridge,MAE,42678.62182291643
phi,MAE,194338.97835372158
GE,MAE,23048.122432163782
Ridge,MSE,1594489.4793568945
phi,MSE,21490173.838511538
GE,MSE,917914.3486426644
Ridge,RMSE,1262.7309607976256
phi,RMSE,4635.749544411512
GE,RMSE,958.0784668505312
Ridge,r,0.6953872538206644
phi,r,0.6649645662202143
GE,r,0.8607220060833481
Ridge,R2,0.48356342420503173
phi,R2,-5.960417070218486
GE,R2,0.7026982308611932
Ridge,PCC,0.48356343277624536
phi,PCC,0.44217787432843786
GE,PCC,0.7408423717561442
Ridge,r/s,12.702270093274837
phi,r/s,12.702270093274837
GE,r/s,124.54966695515333
Ridge,MAE,28975.591733993708
phi,MAE,75629.91538753924
GE,MAE,16513.788980172605
Ridge,MSE,801240.8701162706
phi,MSE,4204758.901118592
GE,MSE,562969.0652779952
Ridge,RMSE,895.120589706365
phi,RMSE,2050.5508774762434
GE,RMSE,750.3126450207242
Ridge,r,0.6743904854789361
phi,r,0.6353397459499662
GE,r,0.847848562474355
Ridge,R2,0.45480251803389926
phi,R2,-1.861092151766718
GE,R2,0.6169325252095773
Ridge,PCC,0.4548025269045145
phi,PCC,0.40365659278376803
GE,PCC,0.718847184889829
Ridge,r/s,13.344396886693275
phi,r/s,13.344396886693275
GE,r/s,81.92705170124098
Ridge,MAE,22780.99114527805
phi,MAE,75455.90626268812
GE,MAE,13397.419350643546
Ridge,MSE,555890.1144238564
phi,MSE,3659496.2038245653
GE,MSE,492690.10653938586
Ridge,RMSE,745.5803876335914
phi,RMSE,1912.9809731998291
GE,RMSE,701.9188746140012
Ridge,r,0.6273755582327957
phi,r,0.567843614678149
GE,r,0.805058081893279
Ridge,R2,0.39360008312802874
phi,R2,-2.9920087373607958
GE,R2,0.462542628665499
Ridge,PCC,0.39360009106791227
phi,PCC,0.32244637073074606
GE,PCC,0.6481185152216861
Ridge,r/s,14.954421493287365
phi,r/s,14.954421493287365
GE,r/s,86.14495475286617
Ridge,MAE,33672.57151446423
phi,MAE,147249.5606310613
GE,MAE,19352.068443142638
