Model,Metric,Value
PW_L,r,0.8613904413392859
PW_GE,r,0.970985731589617
ADD_L,PCC,0.4250263322928953
ADD_GE,PCC,0.8489940606598566
PW_L,PCC,0.7419934924306893
PW_GE,PCC,0.9428132909506242
ADD_L,MAE,45908.485887566385
ADD_GE,MAE,9063.29361728746
PW_L,MAE,35671.67758295487
PW_GE,MAE,7423.6364031811145
ADD_L,MSE,3191448.424915603
ADD_GE,MSE,133926.32513633254
PW_L,MSE,2208878.696399226
PW_GE,MSE,121247.33601884218
ADD_L,RMSE,1786.4625450637366
ADD_GE,RMSE,365.95945832336747
PW_L,RMSE,1486.2296916692337
PW_GE,RMSE,348.20588165457826
ADD_L,r,0.6605802739096364
ADD_GE,r,0.9736392452647344
PW_L,r,0.828213481011858
PW_GE,r,0.9774814794790936
ADD_L,PCC,0.4363662982785302
ADD_GE,PCC,0.9479733799196826
PW_L,PCC,0.6859375701297785
PW_GE,PCC,0.955470042724637
ADD_L,MAE,44219.90950051132
ADD_GE,MAE,10367.317133222306
PW_L,MAE,36777.529334632716
PW_GE,MAE,7667.120482152822
ADD_L,MSE,2888747.057229297
ADD_GE,MSE,184610.14442763093
PW_L,MSE,2217523.7383875363
PW_GE,MSE,111549.73814775766
ADD_L,RMSE,1699.6314474700969
ADD_GE,RMSE,429.6628264437487
PW_L,RMSE,1489.135231732678
PW_GE,RMSE,333.9906258381478
ADD_L,r,0.6385848528721733
ADD_GE,r,0.959348357052486
PW_L,r,0.8566327465910524
PW_GE,r,0.9837762010384341
ADD_L,PCC,0.4077906143177742
ADD_GE,PCC,0.9203492701793022
PW_L,PCC,0.7338196625321305
PW_GE,PCC,0.9678156137296107
ADD_L,MAE,24495.206019440473
ADD_GE,MAE,12076.10327272999
PW_L,MAE,21308.322994212715
PW_GE,MAE,8535.703569100828
ADD_L,MSE,1325415.8032498662
ADD_GE,MSE,371053.1891945884
PW_L,MSE,1144478.9081200943
PW_GE,MSE,280400.4568577458
ADD_L,RMSE,1151.2670425448068
ADD_GE,RMSE,609.1413540341753
PW_L,RMSE,1069.8032099970976
PW_GE,RMSE,529.5285231767461
ADD_L,r,0.5302127584622637
ADD_GE,r,0.8920414209215035
PW_L,r,0.7373710476135479
PW_GE,r,0.9192570472507382
ADD_L,PCC,0.2811255692361623
ADD_GE,PCC,0.7957378966396544
PW_L,PCC,0.5437160618587019
PW_GE,PCC,0.8450335189201466
ADD_L,MAE,83187.8048135407
ADD_GE,MAE,21097.467220384246
PW_L,MAE,27293.521708585777
PW_GE,MAE,10558.68149301957
ADD_L,MSE,8244940.634120356
ADD_GE,MSE,818430.162615599
PW_L,MSE,727544.0642744493
PW_GE,MSE,230804.16072813678
ADD_L,RMSE,2871.4004656474435
ADD_GE,RMSE,904.6713008687735
PW_L,RMSE,852.9619360056164
PW_GE,RMSE,480.42081629352487
ADD_L,r,0.6106437923383176
ADD_GE,r,0.92092563611507
PW_L,r,0.926726597200434
PW_GE,r,0.978670984042501
ADD_L,PCC,0.37288584112132106
ADD_GE,PCC,0.8481040272539464
PW_L,PCC,0.8588221859586949
PW_GE,PCC,0.9577968950067185
ADD_L,MAE,54201.315858451686
ADD_GE,MAE,17955.640061281163
PW_L,MAE,21446.642896846846
PW_GE,MAE,8314.632314720931
ADD_L,MSE,4044885.143117815
ADD_GE,MSE,527351.7968386861
PW_L,MSE,418428.5958798241
PW_GE,MSE,121587.01262009589
ADD_L,RMSE,2011.1899818559696
ADD_GE,RMSE,726.1899178855942
PW_L,RMSE,646.8605691181247
PW_GE,RMSE,348.6932930529291
ADD_L,r,0.650336747782436
ADD_GE,r,0.9121260668534216
PW_L,r,0.9202324119465527
PW_GE,r,0.9771565889558498
ADD_L,PCC,0.4229378855162358
ADD_GE,PCC,0.8319739618334929
PW_L,PCC,0.8468276919969717
PW_GE,PCC,0.9548349993398333
ADD_L,MAE,47936.454137218236
ADD_GE,MAE,16017.416427612303
PW_L,MAE,25225.65327297911
PW_GE,MAE,7497.313014283472
ADD_L,MSE,2812456.914018691
ADD_GE,MSE,347935.3001807614
PW_L,MSE,772244.3275708763
PW_GE,MSE,115676.57862505592
ADD_L,RMSE,1677.0381373178998
ADD_GE,RMSE,589.8604073683547
PW_L,RMSE,878.774332562619
PW_GE,RMSE,340.1125969808468
ADD_L,r,0.6899414543436151
ADD_GE,r,0.9325916855253938
PW_L,r,0.9109262462145415
PW_GE,r,0.9741418220618114
ADD_L,PCC,0.4760192104217832
ADD_GE,PCC,0.8697272519110947
PW_L,PCC,0.8297866260425162
PW_GE,PCC,0.9489522894899083
ADD_L,MAE,77013.02116051498
ADD_GE,MAE,13677.64941343969
PW_L,MAE,20577.956109183175
PW_GE,MAE,6562.046466515988
ADD_L,MSE,6262149.942790606
ADD_GE,MSE,280979.1516496539
PW_L,MSE,388186.8834489011
PW_GE,MSE,61679.04178752295
ADD_L,RMSE,2502.4288087357463
ADD_GE,RMSE,530.0746661081379
PW_L,RMSE,623.0464536845557
PW_GE,RMSE,248.35265609113776
ADD_L,r,0.7658279866670294
ADD_GE,r,0.96581480734318
PW_L,r,0.9501996003881719
PW_GE,r,0.9919787509108405
ADD_L,PCC,0.5864925051624787
ADD_GE,PCC,0.9327982420833418
PW_L,PCC,0.9028792805778417
PW_GE,PCC,0.9840218422586288
ADD_L,MAE,19409.06905279354
ADD_GE,MAE,6223.21396773202
PW_L,MAE,17447.462337844223
PW_GE,MAE,6770.130731349088
ADD_L,MSE,983761.0769753882
ADD_GE,MSE,125340.59521095133
PW_L,MSE,889992.0903290084
PW_GE,MSE,201451.15700524967
ADD_L,RMSE,991.8473052720303
ADD_GE,RMSE,354.0347372941691
PW_L,RMSE,943.3939210791049
PW_GE,RMSE,448.8331059594977
ADD_L,r,0.5072072747143296
ADD_GE,r,0.9499372039501159
PW_L,r,0.696690284749357
PW_GE,r,0.9332830304549402
ADD_L,PCC,0.2572592195231376
ADD_GE,PCC,0.9023806914485639
PW_L,PCC,0.48537735286414047
PW_GE,PCC,0.8710172149351592
ADD_L,MAE,40323.090874029665
ADD_GE,MAE,9775.27801529242
PW_L,MAE,35638.315366044335
PW_GE,MAE,8466.154032882378
ADD_L,MSE,2718997.527863482
ADD_GE,MSE,159360.12214834298
PW_L,MSE,2314363.2189866495
PW_GE,MSE,161201.11743390313
ADD_L,RMSE,1648.9383032313494
ADD_GE,RMSE,399.19935138767823
PW_L,RMSE,1521.303131853297
PW_GE,RMSE,401.4985895789712
ADD_L,r,0.6314058056307178
ADD_GE,r,0.9696614744962686
PW_L,r,0.8100485096755279
PW_GE,r,0.9808804303790362
ADD_L,PCC,0.3986732913841758
ADD_GE,PCC,0.9402433751222771
PW_L,PCC,0.6561785880275444
PW_GE,PCC,0.9621264187005651
ADD_L,MAE,52656.47966155227
ADD_GE,MAE,10530.959381687397
PW_L,MAE,49355.15264491645
PW_GE,MAE,6642.090507818728
ADD_L,MSE,4340931.91712956
